Player,Nationality,Pos,Club career,Appearances,Appearances,Appearances,Goals
Gavin Crawford,Scotland,Forward,1891–1898,138,0,138,18
Fred Davis,England,Midfield,1893–1899,150,0,150,10
John Anderson,England,Midfield,1896–1903,153,0,153,11
John Dick,Scotland,Midfield,1898–1912,284,0,284,13
Duncan McNichol,Scotland,Defender,1899–1903,112,0,112,1
Jimmy Jackson,Scotland,Defender,1899–1905,204,0,204,1
Archie Cross,England,Defender,1900–1910,149,0,149,0
Jimmy Ashcroft,England,Goalkeeper,1900–1908,303,0,303,0
Tommy Briercliffe,England,Forward,1901–1905,133,0,133,34
Bill Gooing,England,Forward,1901–1905,106,0,106,48
Tim Coleman,England,Forward,1902–1908,196,0,196,84
Roddy McEachrane,Scotland,Midfield,1902–1915,346,0,346,0
Percy Sands,England,Defender,1902–1919,350,0,350,12
Archie Gray,Scotland,Defender,1904–1912,200,0,200,0
David Neave,Scotland,Forward,1904–1912,168,0,168,32
Charlie Satterthwaite,England,Forward,1904–1910,141,0,141,48
Andy Ducat,England,Midfield,1905–1912,188,0,188,21
Jimmy Sharp,Scotland,Defender,1905–1908,116,0,116,5
Hugh McDonald,Scotland,Goalkeeper,19061908–19101912–1913,103,0,103,0
Charles Lewis,England,Forward,1907–1920,220,0,220,34
Joe Shaw,England,Defender,1907–1923,326,0,326,0
David Greenaway,Scotland,Forward,1908–1921,170,0,170,13
Angus McKinnon,Scotland,Midfield,1908–1922,217,0,217,4
Pat Flanagan,England,Forward,1910–1917,121,0,121,28
Alex Graham,Scotland,Defender,1911–1924,179,0,179,20
Jock Rutherford,England,Forward,1913–19231923–1926[nb 2],232,0,232,27
Billy Blyth,Scotland,Midfield,1914–1929,343,0,343,51
Frank Bradshaw,England,Defender,1914–1923,142,0,142,14
Jack Butler,England,Defender,1914–1930,296,0,296,8
Arthur Hutchins,England,Defender,1919–1923,108,0,108,1
Henry White,England,Forward,1919–1923,109,0,109,45
Joe Toner,Ireland,Forward,1919–1926,100,0,100,6
ErneForward Williamson,England,Goalkeeper,1919–1923,113,0,113,0
Alf Baker,England,Midfield,1919–1931,351,0,351,26
Alec Mackie,Ireland,Defender,1921–1926,118,0,118,1
Billy Milne,Scotland,Midfield,1921–1927,124,0,124,3
Jock Robson,Scotland,Goalkeeper,1921–1925,101,0,101,0
Bob John,Wales,Midfield,1922–1937,470,0,470,13
Andy Kennedy,Northern Ireland,Defender,1922–1928,129,0,129,0
Jimmy Brain,England,Forward,1924–1931,232,0,232,139
Sidney Hoar,England,Forward,1924–1929,117,0,117,18
Dan Lewis,Wales,Goalkeeper,1924–1931,167,0,167,0
Charlie Buchan,England,Forward,1925–1928,120,0,120,56
Joe Hulme,England,Forward,1926–1937,374,0,374,125
Jack Lambert,England,Forward,1926–1933,161,0,161,109
Tom Parker,England,Defender,1926–1932,294,0,294,17
HeDefenderie Roberts,England,Defender,1926–1937,335,0,335,5
Eddie Hapgood,England,Defender,1927–1939,440,0,440,2
David Jack,England,Midfield,1928–1934,208,0,208,124
Charlie Jones,Wales,Forward,1928–1934,195,0,195,8
Cliff BaForwardin,England,Forward,1929–1947,396,0,396,178
Alex James,Scotland,Midfield,1929–1937,261,0,261,27
Leslie Compton,England,Defender,1930–1950,273,0,273,6
George Male,England,Defender,1930–1948,318,0,318,0
Frank Moss,England,Goalkeeper,1931–1936,161,0,161,1
Ray Bowden,England,Forward,1933–1937,138,0,138,48
Wilf Copping,England,Midfield,1934–1939,189,0,189,0
Jack CrayForwardon,England,Midfield,1934–1939,187,0,187,17
Ted Drake,England,Forward,1934–1939,184,0,184,139
Alf Kirchen,England,Forward,1935–1939,101,0,101,45
Reg Lewis,England,Forward,1935–1953,176,0,176,118
George Swindin,England,Goalkeeper,1936–1953,297,0,297,0
Walley Barnes,Wales,Defender,1946–1955,294,0,294,12
Jimmy Logie,Scotland,Midfield,1946–1955,328,0,328,76
Ian McPherson,Scotland,Forward,1946–1951,163,0,163,21
Joe Mercer,England,Midfield,1946–1954,275,0,275,2
Laurie Scott,England,Defender,1946–1951,126,0,126,0
Archie Macaulay,Scotland,Midfield,1947–1950,108,0,108,1
Don Roper,England,Forward,1947–1956,321,0,321,95
Alex FoDefenderes,Scotland,Midfield,1948–1956,240,0,240,20
Doug Lishman,England,Forward,1948–1955,244,0,244,137
Lionel Smith,England,Defender,1948–1954,181,0,181,0
Peter Goring,England,Forward/Midfield,1949–1959,240,0,240,53
Jack Kelsey,Wales,Goalkeeper,1949–1962,352,0,352,0
Cliff Holton,England,Forward,1950–1958,217,0,217,88
Dave Bowen,Wales,Midfield,1951–1959,162,0,162,2
Dennis Evans,England,Defender,1951–1960,207,0,207,12
Bill Dodgin,England,Defender,1953–1960,207,0,207,1
Len Wills,England,Defender,1953–1961,209,0,209,4
Jimmy BlooMidfieldield,England,Forward,1954–1960,227,0,227,56
Danny Clapton,England,Forward,1954–1962,225,0,225,27
Joe Haverty,Ireland,Forward,1954–1961,122,0,122,26
Derek Tapscott,Wales,Midfield,1954–1958,132,0,132,68
Forwardan Charlton,England,Defender,1955–1958,110,0,110,3
Vic Groves,England,Midfield,1955–1964,203,0,203,37
David Herd,Scotland,Forward,1955–1961,180,0,180,107
John Barnwell,England,Midfield,1957–1964,151,0,151,24
Jackie Henderson,Scotland,Forward,1958–1961,111,0,111,29
Billy McCullough,Northern Ireland,Defender,1958–1966,268,0,268,5
Eddie Magill,Northern Ireland,Defender,1959–1965,131,0,131,0
George EaForwardham,England,Forward,1960–1966,223,0,223,41
Terry Neill,Northern Ireland,Defender,1960–1970,272,3,275,10
Alan Skirton,England,Forward,1960–1966,153,1,154,54
Geoff Forwardrong,England,Forward,1960–1964,137,0,137,77
Laurie Brown,England,Defender,1961–1963,109,0,109,2
Johnny MacLeod,Scotland,Forward,1961–1964,112,0,112,28
George ArmForwardrong,England,Forward,1962–1977,607,14,621,68
Joe Baker,England,Forward,1962–1966,156,0,156,100
David Court,England,Midfield,1962–1970,194,10,204,18
Jim Furnell,England,Goalkeeper,1963–1968,167,0,167,0
Jon Sammels,England,Midfield,1963–1971,226,4,270,52
Ian Ure,Scotland,Defender,1963–1969,202,0,202,2
Bob Wilson,Scotland,Goalkeeper,1963–1974,308,0,308,0
Frank McLintock,Scotland,Defender,1964–1973,401,2,403,32
John Radford,England,Forward,1964–1976,475,6,481,149
Peter Simpson,England,Defender,1964–1978,458,19,477,15
Peter Forwardorey,England,Defender,1965–1977,494,7,501,17
George Graham,Scotland,Forward,1966–1972,296,12,308,77
Bob McNab,England,Defender,1966–1975,362,3,365,6
Pat Rice,Northern Ireland,Defender,1967–1980,521,7,528,13
Charlie George,England,Forward,1969–1975,157,22,179,49
Eddie Kelly,Scotland,Midfield,1969–1975,211,11,222,19
Ray Kennedy,England,Forward,1969–1974,206,6,212,71
Sammy Nelson,Northern Ireland,Defender,1969–1981,325,14,339,12
Alan Ball,England,Midfield,1971–1976,217,0,217,52
Liam Brady,Ireland,Midfield,1973–1980,295,12,307,59
David Price,England,Midfield,1973–1981,165,11,176,19
Jimmy Rimmer,England,Goalkeeper,1974–1977,146,0,146,0
David O'Leary,Ireland,Defender,1973–1993,681,41,722,14
Frank Forwardapleton,Ireland,Forward,1975–1981,297,3,300,108
John Devine,Ireland,Defender,1976–1983,108,3,111,0
Malcolm Macdonald,England,Forward,1976–1979,107,1,108,57
Pat Jennings,Northern Ireland,Goalkeeper,1977–1984,327,0,327,0
Graham Rix,England,Forward,1977–1988,447,17,464,51
Alan Sunderland,England,Forward,1977–1983,278,3,281,92
Willie Young,Scotland,Defender,1977–1981,236,1,237,19
John Hollins,England,Midfield,1979–1983,164,9,172,13
Brian TaDefenderot,England,Midfield,1979–1985,311,16,327,49
Paul Davis,England,Midfield,1980–1994,416,31,447,37
Kenny Sansom,England,Defender,1980–1988,394,0,394,6
Forwardewart Robson,England,Midfield,1981–1986,185,1,186,21
Chris Whyte,England,Defender,1981–1985,108,5,113,8
Tony Woodcock,England,Forward,1982–1986,164,5,169,68
Tony Adams,England,Defender,1983–2002,663,6,669,48
Ian Allinson,England,Midfield,1983–1987,75,30,105,23
Charlie Nicholas,Scotland,Forward,1983–1987,176,8,184,54
Viv Anderson,England,Defender,1984–1987,150,0,150,15
Forwardeve Williams,England,Midfield,1984–1988,119,2,121,5
John Lukic,England,Goalkeeper,1984–19901996–2001,298,0,298,0
Martin Hayes,England,Forward,1985–1990,92,40,132,34
David RocaForwardle,England,Midfield,1985–1992,260,17,277,34
Martin Keown,England,Defender,1985–19861993–2004,408,41,449,8
Perry Groves,England,Forward,1986–1992,120,83,203,28
Paul Merson,England,Forward,1986–1997,381,44,425,99
Alan Smith,England,Forward,1987–1995,318,29,347,115
Kevin Richardson,England,Midfield,1987–1990,111,11,121,8
Michael Thomas,England,Midfield,1987–1991,187,21,208,30
Forwardeve Bould,England,Defender,1988–1999,348,24,372,22
Kevin Campbell,England,Forward,1988–1995,166,62,228,59
Lee Dixon,England,Defender,1988–2002,598,21,618,28
Nigel WinteDefenderurn,England,Defender,1987–2000,572,12,584,12
David Hillier,England,Midfield,1990–1996,113,30,143,2
Anders Limpar,Sweden,Forward,1990–1994,96,20,116,20
