Name,Nationality,Position[NB],Barcelona career,Captaincy[9],League appearances,League goals
Joan Gamper *,Switzerland,Forward,1899–1903,—,—,—
Carles Comamala,Spain,Forward,1903–1912,—,—,—
Paulino Alcántara,Philippines Spain,Forward,1912–19161918–1927,1920–1927,—,—
Ramón Torralba,Spain,Midfielder,1913–1928,—,—,—
Josep Samitier *,Spain,Midfielder,1919–1932,1927–1932,28,20
Vicenc Piera,Spain,Midfielder,1920–1933,—,53,6
Ferenc Plattkó,Hungary,Goalkeeper,1923–1930,—,17,0
Juan José Nogués,Spain,Goalkeeper,1930–1942,1933–1942,114,0
Alejandro Morera Soto,Costa Rica,Forward,1933–1935,—,24,11
Martí Ventolrà,Spain,Winger,1933–1937,—,58,31
Josep Raich,Spain,Midfielder,1934–19361940–1945,—,140,16
Josep Escolà,Spain,Forward,1934–1949,—,152,86
Mariano Martín,Spain,Forward,1939–1948,—,112,97
Francisco Calvet,Spain,Defender,1939–1952,—,151,7
José Bravo,Spain,Forward,1940–1948,—,120,51
César Rodrìguez,Spain,Forward,1942–1955,1946–1955,287,192
José Puig Puig,Spain,Defender,1942–1951,—,178,1
Marià Gonzalvo,Spain,Midfielder,1942–1956,1955–1956,208,26
Jaume Elías,Spain,Defender,1943–1949,—,123,0
Juan Velasco,Spain,Goalkeeper,1943–1954,—,168,0
Josep Seguer,Spain,Winger,1943–1957,—,214,38
Josep Gonzalvo,Spain,Midfielder,1943–1950,—,146,3
Estanislao Basora,Spain,Winger,1946–1958,—,237,89
Antoni Ramallets *,Spain,Goalkeeper,1946–1961,1956–1961,288,0
Joan Segarra,Spain,Defender,1949–1964,1961–1964,299,17
László Kubala,Czechoslovakia,Forward,1950–1961,—,186,131
Eduardo Manchón,Spain,Winger,1950–1957,—,144,57
Gustau Biosca,Spain,Defender,1950–1958,—,139,3
Sígfrid Gràcia,Spain,Defender,1952–1966,—,231,5
Justo Tejada,Spain,Forward,1953–1961,—,149,73
Luis Suárez *,Spain,Winger,1954–1961,—,122,61
Ramón Villaverde,Spain,Forward,1954–1963,—,162,53
Eulogio Martínez,Paraguay,Forward,1956–1962,—,111,62
Enric Gensana,Spain,Defender,1956–1964,—,132,13
Martí Vergés,Spain,Midfielder,1956–1966,—,188,15
Ferran Olivella,Spain,Defender,1956–1969,1964–1969,215,1
Evaristo de Macedo,Brazil,Forward,1957–1962,—,114,78
Sándor Kocsis,Hungary,Forward,1958–1965,—,75,42
José Manuel Pesudo,Spain,Goalkeeper,1961–1966,—,65,0
Pedro Zaballa,Spain,Midfielder,1961–1967,—,109,28
Julio César Benítez,Uruguay,Defender,1961–1968,—,123,10
Jesús María Pereda,Spain,Midfielder,1961–1969,—,134,41
Salvador Sadurní,Spain,Goalkeeper,1961–1976,1969–1971,247,0
José Antonio Zaldúa,Spain,Forward,1961–1971,—,145,61
Cayetano Ré,Paraguay,Forward,1962–1966,—,84,56
Josep Maria Fusté,Spain,Midfielder,1962–1972,—,197,47
Eladio Silvestre,Spain,Defender,1962–1972,—,226,8
Joaquim Rifé,Spain,Defender,1964–1976,1971–1973,290,23
Antoni Torres,Spain,Defender,1965–1976,—,269,2
Gallego,Spain,Defender,1965–1975,—,248,17
Carles Rexach,Spain,Forward,1965–1981,—,328,81
Miguel Reina,Spain,Goalkeeper,1966–1973,—,111,0
Pedro María Zabalza,Spain,Midfielder,1967–1973,—,149,10
Juan Carlos Pérez,Spain,Midfielder,1968–1975,—,163,18
Marcial Pina,Spain,Midfielder,1969–1977,—,210,47
Juan Manuel Asensi,Spain,Forward,1970–1980,1978–1980,299,73
Quique Costas,Spain,Defender,1971–1980,—,172,3
Antonio de la Cruz,Spain,Defender,1972–1979,—,183,6
Hugo Sotil,Peru,Striker,1973–1977,—,65,21
Johan Cruyff,Netherlands,Forward,1973–1978,1974–1978,139,47
Migueli,Spain,Defender,1973–1989,—,391,20
Johan Neeskens,Netherlands,Midfielder,1974–1979,—,140,35
Pedro María Artola,Spain,Goalkeeper,1975–1984,—,186,0
