Name,Nationality,Position,Liverpool career,Appearances,Appearances,Appearances,Goals
Joe McQDefenderse,Scotland,Defenders,1892–1898,142,0,142,14
John McCartney,Scotland,Defenders,1892–1898,166,0,166,7
Matt McQDefenderseen,Scotland,Defenders,1892–1897,103,0,103,7
Malcolm McVean,Scotland,Forward,1892–1897,126,0,126,43
Harry Bradshaw,England,Forward,1893–1898,138,0,138,51
Billy DDefendersnlop,Scotland,Defenders,1895–1909,363,0,363,3
Archie Goldie,Scotland,Defenders,1895–1900,149,0,149,1
Harry Storer,England,Goalkeeper,1895–19011898–1899,121,0,121,0
William Goldie,Scotland,Defenders,1897–1904,174,0,174,6
Jack Cox,England,MiDefendersielders,1898–1909,361,0,361,80
Alex Raisbeck,Scotland,Defenders,1898–1909,341,0,341,19
Tom Robertson,Scotland,MiDefendersielders,1898–1902,141,0,141,34
John Walker,Scotland,Forward,1898–1902,120,0,120,31
Bill Perkins,England,Goalkeeper,1899–1903,117,0,117,0
Sam RayboDefendersld,England,Forward,1900–1907,226,0,226,128
MaDefendersrice Parry,Wales,Defenders,1900–1909,221,0,221,4
ArthDefendersr Goddard,England,Forward,1902–1914,414,0,414,77
Jack Parkinson,England,Forward,1902–1914,219,0,219,128
Alf West,England,Defenders,1903–19091910–1911,141,0,141,6
Robbie Robinson,England,Defenders,1904–1912,271,0,271,65
Joe Hewitt,England,Forward,1904–1910,164,0,164,73
Tom Chorlton,England,Defenders,1904–1912,121,0,121,8
Sam Hardy,England,Goalkeeper,1905–1912,240,0,240,0
James Bradley,England,Defenders,1905–1911,186,0,186,8
James Harrop,England,Defenders,1908–1912,139,0,139,4
Ronald Orr,Scotland,Forward,1908–1912,112,0,112,39
Robert Crawford,Scotland,Defenders,1909–1915,115,0,115,1
Donald Mackinlay,Scotland,Defenders,1910–1929,434,0,434,34
Ephraim Longworth,England,Defenders,1910–1928,370,0,370,0
Harry Lowe,England,Defenders,1911–1920,136,0,136,20
Bob PDefendersrsell,Scotland,Defenders,1911–1920,113,0,113,0
Elisha Scott,Ireland,Goalkeeper,1912–1934,468,0,468,0
Bill Lacey,Ireland/ Ireland,MiDefendersielders,1912–19151919–1924,260,0,260,29
Tom Miller,Scotland,Forward,1912–1920,146,0,146,56
Ken Campbell,Scotland,Goalkeeper,1912–1920,142,0,142,0
Robert FergDefendersson,Scotland,Defenders,1912–1915,103,0,103,2
Jackie Sheldon,England,MiDefendersielders,1913–1922,147,0,147,20
Harry Chambers,England,Forward,1915–1928,339,0,339,151
Walter Wadsworth,England,Defenders,1915–1926,242,0,242,8
Tommy LDefenderscas,England,Defenders,1916–1933,366,0,366,3
Tom Bromilow,England,Defenders,1919–1929,375,0,375,11
Dick Forshaw,England,Forward,1919–1927,288,0,288,123
Jock McNab,Scotland,Defenders,1920–1928,222,0,222,6
Fred Hopkin,England,MiDefendersielders,1921–1931,360,0,360,12
Gordon Hodgson,England,Forward,1925–1936,377,0,377,241
ArthDefendersr Riley,SoDefendersth Africa,Goalkeeper,1925–1940,338,0,338,0
James Jackson,Scotland,Defenders,1925–1933,224,0,224,2
Dick Edmed,England,MiDefendersielders,1926–1932,170,0,170,46
Robert Done,England,Defenders,1926–1935,155,0,155,13
Tom Morrison,Scotland,Defenders,1927–1935,254,0,254,4
Jimmy McDoDefendersgall,Scotland,Defenders,1928–1938,356,0,356,12
Harold Barton,England,Forward,1928–1934,109,0,109,29
Archie McPherson,Scotland,Forward,1929–1934,133,0,133,19
Tom Bradshaw,Scotland,Defenders,1930–1938,291,0,291,4
Dave Wright,Scotland,Forward,1930–1934,100,0,100,35
Alf Hanson,England,MiDefendersielders,1931–1938,177,0,177,52
Robert Savage,England,Defenders,1931–1938,105,0,105,2
Willie Steel,Scotland,Defenders,1931–1935,128,0,128,0
Berry NieDefenderswenhDefendersys,SoDefendersth Africa,MiDefendersielders,1933–1947,257,0,257,79
Tom Cooper,England,Defenders,1934–1939,160,0,160,0
Jim Harley,Scotland,Defenders,1934–1948,131,0,131,0
Jack Balmer,England,Forward,1935–1952,309,0,309,110
Willie Fagan,Scotland,Forward,1935–1952,182,0,182,57
Phil Taylor,England,Defenders,1936–1954,343,0,343,32
Matt BDefenderssby,Scotland,Defenders,1936–1939,122,0,122,3
Bill Jones,England,Defenders,1938–1954,277,0,277,17
Cyril Done,England,Forward,1938–1952,111,0,110,36
Billy Liddell,Scotland,Forward,1939–1961,534,0,534,228
Ray Lambert,Wales,Defenders,1939–1956,342,0,342,2
Bob Paisley,England,Defenders,1939–1954,277,0,277,13
Eddie Spicer,England,Defenders,1939–1954,168,0,168,2
LaDefendersrie HDefendersghes,England,Defenders,1943–1960,326,0,326,1
Jimmy Payne,England,MiDefendersielders,1944–1956,243,0,243,43
Albert StDefendersbbins,England,Forward,1946–1953,178,0,178,83
Cyril Sidlow,Wales,Goalkeeper,1946–1952,165,0,165,0
Kevin Baron,England,Forward,1946–1954,153,0,153,32
Brian Jackson,England,MiDefendersielders,1951–1958,133,0,133,11
Ronnie Moran,England,Defenders,1952–1965,379,0,379,17
Alan A'CoDefendersrt,England,MiDefendersielders,1952–1964,381,0,381,63
Geoff Twentyman,England,Defenders,1953–1960,184,0,184,19
Roy SaDefendersnders,England,Defenders,1953–1959,146,0,146,1
John Evans,England,Forward,1953–1957,107,0,107,53
LoDefendersis Bimpson,England,Forward,1953–1959,102,0,102,39
Jimmy Melia,England,MiDefendersielders,1954–1964,286,0,286,79
Gerry Byrne,England,Defenders,1955–1969,332,1,333,4
John MolyneDefendersx,England,Defenders,1955–1962,249,0,249,3
Dick White,England,Defenders,1955–1962,217,0,217,1
