Name,Nationality,Position,Manchester Defendernitedcareer,Starts,SDefenderbs,Total,Goals
Bob Donaldson,Scotland,Forward,1892–1897,147,0,155,66
Fred Erentz,Scotland,Defender,1892–1902,310,0,310,9
Joe Cassidy,Scotland,Forward,18931895–1900,174,0,174,100
James McNaDefenderght,Scotland,MiDefenderielder,1893–1898,157,0,157,12
Dick Smith,England,Forward,1894–18981900–1901,100,0,100,37
Walter Cartwright,England,MiDefenderielder,1895–1905,257,0,257,8
Harry Stafford,England,Defender,1896–1903,200,0,200,1
William Bryant,England,Forward,1896–1900,127,0,127,33
Frank Barrett,Scotland,Goalkeeper,1896–1900,136,0,136,0
Billy Morgan,England,MiDefenderielder,1897–1903,152,0,152,7
Billy Griffiths,England,MiDefenderielder,1899–1905,175,0,175,30
Alf Schofield,England,Forward,1900–1907,179,0,179,35
Vince Hayes,England,Defender,1901–19071908–1910,128,0,128,2
Jack Peddie,Scotland,Forward,1902–19031904–1907,121,0,121,58
Alex Downie,Scotland,MiDefenderielder,1902–1909,191,0,191,14
Alex Bell,Scotland,MiDefenderielder,1903–1913,309,0,309,10
Bob Bonthron,Scotland,Defender,1903–1907,134,0,134,3
Harry Moger,England,Goalkeeper,1903–1912,266,0,266,0
Dick DDefenderckworth,England,MiDefenderielder,1903–1915,254,0,254,11
Charlie Roberts,England,MiDefenderielder,1904–1913,302,0,302,23
Dick Holden,England,Defender,1905–1914,117,0,117,0
Jack Picken,Scotland,Forward,1905–1911,122,0,122,46
George Wall,England,Forward,1906–1915,319,0,319,100
Billy Meredith,Wales,Forward,1907–1921,335,0,335,36
Sandy TDefenderrnbDefenderll,Scotland,Forward,1907–1915,247,0,247,101
George Stacey,England,Defender,1907–1915,270,0,270,9
Harold Halse,England,Forward,1908–1912,125,0,125,56
ArthDefenderr Whalley,England,MiDefenderielder,1909–1920,106,0,106,6
Enoch West,England,Forward,1910–1916,181,0,181,80
Bobby Beale,England,Goalkeeper,1912–1919,112,0,112,0
Jack Mew,England,Goalkeeper,1912–1926,199,0,199,0
Lal Hilditch,England,MiDefenderielder,1919–1932,322,0,322,7
Jack Silcock,England,Defender,1919–1934,449,0,449,2
Joe Spence,England,Forward,1919–1933,510,0,510,168
Charlie Moore,England,Defender,1919–19211922–1931,328,0,328,0
