Name,Nationality,Pos[NB],Valencia career,Apps,Goals
Luis Pasarín,Spain,Defender,1929–1935,46,0
Bertolí,Spain,Midfielder,1933–1945,–,–
Carlos Iturraspe,Spain,Midfielder,1933–1946,168,5
János Aknai,Hungary,Goalkeeper,1934–1935,1,0
Gaspar Rubio,Spain,Forward,1934–1935,–,–
Juan Ramón,Spain,Defender,1934–1952,–,–
Hilario,Spain,Midfielder,1936,0,0
Mundo*,Spain,Forward,1939–1950,210,186
Guillermo Gorostiza,Spain,Forward,1940–1946,115,72
Epi,Spain,Forward,1940–1949,198,78
Ignacio Eizaguirre,Spain,Goalkeeper,1940–1950,197,0
Vicente Asensi,Spain,Midfielder,1940–1955,275,33
Silvestre Igoa,Spain,Forward,1941–1950,168,81
Pasieguito,Spain,Midfielder,1942–19441945–19461948–1959,240+,65+
Simón Lecue,Spain,Midfielder,1942–1946,77,4
Salvador Monzó,Spain,Defender,1942–1955,–,–
Antonio Fuertes,Spain,Midfielder,1943–1959,186,58
Antonio Puchades,Spain,Midfielder,1945–1958¤,256,4
Seguí,Spain,Midfielder,1945–1959,–,83
Manuel Badenes,Spain,Forward,1950–1956,97,90
Faas Wilkes,Netherland,Forward,1953–1956,62,38
José Manuel Pesudo,Spain,Goalkeeper,1955–19611966–1971,127,0
Manuel Mestre,Spain,Defender,1955–1969¤,323,–
Esteban Areta,Spain,Defender,1956–1957,26,5
Goyo,Spain,Goalkeeper,1956–1962,–,–
Vicente Piquer,Spain,Defender,1954–1965,197,4
Ricardo,Spain,Forward,1957–1960,–,–
Joel Antônio Martins,Brazil,Forward,1958–1961,–,–
José Aveiro,Paraguy,Forward,1959–1961,32,15
Héctor Núñez,Uruguay,Forward,1959–1965,154,61
Vicente Guillot,Spain,Forward,1959–1970,153,50
Roberto Gil,Spain,Midfielder,1959–1971¤,–,–
Waldo*,Brazil,Forward,1961–1970,216,115
Paquito,Spain,Midfielder,1963–1972,212,26
Abelardo,Spain,Goalkeeper,1965–1974,–,–
Juan Sol,Spain,Defender,1965–19751979–1981,237,14
José Claramunt,Spain,Midfielder,1965–1978¤,294,55
Enrique Collar,Spain,Forward,1969–1970,15,1
Fernando Barrachina,Spain,Defender,1969–1977,146,1
Óscar Valdez,Spain,Forward,1971–1978,167,42
Kurt Jara,Austria,Midfielder,1973–1975,57,11
Salif Keïta,Mali,Forward,1973–1976,74,23
Raimundo Aguilera,Paraguy,Goalkeeper,1974–1975,–,–
Juan Planelles,Spain,Midfielder,1974–1976,50,12
Johnny Rep,Netherland,Midfielder,1975–1977,55,22
Enrique Saura,Spain,Midfielder,1975–1985,306,37
